PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,TimeStampMs
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,810
0.17898240,0.52299590,0.00325258,359.38030000,179.78680000,-0.00137774,828
0.17898230,0.52299580,0.00325288,359.38020000,179.78640000,-0.00135128,839
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,851
0.17898230,0.52299580,0.00325285,359.38020000,179.78700000,-0.00136860,861
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,872
0.17898230,0.52299590,0.00325360,359.38010000,179.78690000,-0.00137281,883
0.17898240,0.52299590,0.00325430,359.38000000,179.78680000,-0.00135238,896
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,906
0.17898230,0.52299590,0.00325460,359.37990000,179.78760000,-0.00137162,916
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,928
0.17898230,0.52299580,0.00325580,359.37980000,179.78750000,-0.00136285,938
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,949
0.17898230,0.52299580,0.00325693,359.37960000,179.78720000,-0.00138614,959
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,971
0.17898230,0.52299590,0.00325783,359.37950000,179.78690000,-0.00138114,981
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,993
0.17898240,0.52299570,0.00325890,359.37940000,179.78650000,-0.00135859,1003
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1014
0.17898220,0.52299590,0.00325971,359.37930000,179.78610000,-0.00136362,1023
0.17898220,0.52299610,0.00326068,359.37920000,179.78580000,-0.00135923,1035
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1047
0.17898230,0.52299570,0.00326185,359.37900000,179.78550000,-0.00136156,1057
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1070
0.17898220,0.52299600,0.00326279,359.37890000,179.78530000,-0.00136430,1078
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1091
0.17898220,0.52299580,0.00326390,359.37880000,179.78510000,-0.00136376,1101
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1113
0.17898220,0.52299590,0.00326496,359.37860000,179.78490000,-0.00134631,1123
0.17898220,0.52299570,0.00326612,359.37840000,179.78470000,-0.00136661,1135
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1147
0.17898210,0.52299580,0.00326725,359.37830000,179.78430000,-0.00136847,1156
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1167
0.17898220,0.52299580,0.00326828,359.37810000,179.78400000,-0.00135364,1176
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1188
0.17898210,0.52299580,0.00326885,359.37800000,179.78470000,-0.00136874,1197
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1209
0.17898200,0.52299580,0.00326978,359.37790000,179.78510000,-0.00140448,1219
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1230
0.17898200,0.52299580,0.00327081,359.37770000,179.78540000,-0.00138459,1239
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1251
0.17898200,0.52299570,0.00327185,359.37760000,179.78560000,-0.00139803,1261
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1272
0.17898200,0.52299580,0.00327284,359.37750000,179.78570000,-0.00141752,1282
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1294
0.17898210,0.52299580,0.00327358,359.37740000,179.78580000,-0.00140892,1304
0.17898210,0.52299580,0.00327454,359.37730000,179.78540000,-0.00140451,1315
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1327
0.17898210,0.52299580,0.00327460,359.37730000,179.78590000,-0.00140828,1337
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1349
0.17898200,0.52299590,0.00327509,359.37730000,179.78630000,-0.00145311,1358
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1371
0.17898200,0.52299600,0.00327544,359.37720000,179.78650000,-0.00145291,1380
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1392
0.17898200,0.52299580,0.00327581,359.37720000,179.78670000,-0.00142478,1402
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1413
0.17898200,0.52299590,0.00327570,359.37720000,179.78740000,-0.00144736,1423
0.17898190,0.52299590,0.00327596,359.37720000,179.78790000,-0.00147596,1436
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1447
0.17898190,0.52299580,0.00327575,359.37730000,179.78860000,-0.00147186,1457
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1469
0.17898190,0.52299590,0.00327555,359.37730000,179.78920000,-0.00149408,1479
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,1491
